Airplane.damage.,Airplane.fate.,DateCrash,YearCrash,First.flight.,AccidentCountry,Nature,Operator,Phase,Departcountry,Destcountry,Type,Total.airframe.hrs.,Status.,FatalCrew,FatalPass,OccupantsCrew,OccupantsPass,FatalTotal,OccupantsTotal
Substantial,Repaired,Tuesday 16 April 2013,2013,2004-04-20  (8 years 12 months),South Korea,International Scheduled Passenger,Asiana Airlines,Landing (LDG),China,South Korea,Airbus A321-231,30268,Final,0,0,11,128,0,139
Minor,Repaired,Wednesday 17 April 2013,2013,2006-09-28  (6 years 7 months),Libya,Domestic Scheduled Passenger,Buraq Air,Approach (APR),Libya,Libya,Boeing 737-8GK (WL),NA,Preliminary,0,0,,,0,155
Substantial,NA,Wednesday 17 April 2013,2013,1969,Laos,Domestic Scheduled Passenger,Lao Air,Takeoff (TOF),Laos,Laos,de Havilland Canada DHC-6 Twin Otter 300,NA,Preliminary,0,0,2,16,0,18
Substantial,NA,Tuesday 23 April 2013,2013,1982,Afghanistan,Military,Royal Air Force - RAF,Standing (STD),-,-,British Aerospace BAe-125 CC3 (HS-125-700),NA,Preliminary,0,0,0,0,0,0
Destroyed,Written off (damaged beyond repair),Saturday 27 April 2013,2013,,Afghanistan,Military,United States Air Force - USAF,En route (ENR),Afghanistan,Afghanistan,Beechcraft MC-12W Liberty (King Air 350),NA,Final,4,0,4,0,4,4
Destroyed,Written off (damaged beyond repair),Monday 29 April 2013,2013,1993-01-29  (20 years 3 months),Afghanistan,Cargo,National Airlines (National Air Cargo),Takeoff (TOF),Afghanistan,United Arab Emirates,Boeing 747-428BCF,NA,Final,7,0,7,0,7,7
Destroyed,Written off (damaged beyond repair),Tuesday 30 April 2013,2013,1986,Mexico,Executive,Procuraduría General de la República (PGR),En route (ENR),Mexico,Mexico,Beechcraft 300 Super King Air,NA,Preliminary,3,3,3,3,6,6
Minor,Written off (damaged beyond repair),Wednesday 1 May 2013,2013,1990,United States of America,Domestic Scheduled Passenger,American Airlines,Standing (STD),United States of America,United States of America,McDonnell Douglas DC-9-82 (MD-82),66761,#NAME?,0,0,,,0,
Substantial,Repaired,Wednesday 1 May 2013,2013,2003-01-16  (10 years 4 months),United States of America,International Scheduled Passenger,Scandinavian Airlines System - SAS,Taxi (TXI),United States of America,Norway,Airbus A330-343X,NA,Preliminary - official,0,0,,,0,242
Substantial,NA,Wednesday 1 May 2013,2013,2002,United States of America,Domestic Scheduled Passenger,NA,Taxi (TXI),United States of America,United States of America,Embraer ERJ-145LR,NA,Preliminary - official,0,0,,,0,31
Destroyed,Written off (damaged beyond repair),Friday 3 May 2013,2013,1964-07-23  (48 years 10 months),Kyrgyzstan,Military,United States Air Force - USAF,En route (ENR),Kyrgyzstan,Kyrgyzstan,Boeing KC-135R Stratotanker,NA,Final,3,0,3,0,3,3
Destroyed,Written off (damaged beyond repair),Sunday 5 May 2013,2013,1994,Venezuela,Unknown,private,Approach (APR),Venezuela,Venezuela,Learjet 60,NA,Preliminary,2,0,2,0,2,2
Substantial,Repaired,Sunday 5 May 2013,2013,1977,Greenland,Unknown,Kenn Borek Air,Taxi (TXI),?,Canada,de Havilland Canada DHC-6 Twin Otter 300,NA,Preliminary - official,0,0,2,0,0,2
Damaged beyond repair,NA,Wednesday 8 May 2013,2013,1988-10-07  (24 years 7 months),Indonesia,Cargo,Nusantara Air Charter,Standing (STD),Indonesia,Indonesia,British Aerospace BAe-146-200QT,NA,Preliminary,0,0,,,0,
Substantial,Written off (damaged beyond repair),Friday 10 May 2013,2013,1982,Romania,Agricultural,Aero Scoroget,En route (ENR),?,?,Antonov 2R,6598,Final,0,0,2,1,0,3
Substantial,Written off (damaged beyond repair),Monday 13 May 2013,2013,1978,United States of America,Ferry/positioning,Evergreen International Aviation,Landing (LDG),United States of America,United States of America,Learjet 35A,15047,Final,0,0,2,1,0,3
Destroyed,Written off (damaged beyond repair),Wednesday 15 May 2013,2013,1982,Russia,Agricultural,Aviakompanija Annushka,Maneuvering (MNV),?,?,Antonov 2R,8522,Final,1,0,1,0,1,1
Destroyed,Written off (damaged beyond repair),Thursday 16 May 2013,2013,1986,China,Agricultural,China Flying Dragon Aviation,Initial climb (ICL),China,China,Harbin Yunshuji Y-12-II,NA,Preliminary,0,0,3,0,0,3
Substantial,Written off (damaged beyond repair),Thursday 16 May 2013,2013,1979-08-24  (33 years 9 months),Nepal,Domestic Scheduled Passenger,Nepal Airlines,Landing (LDG),Nepal,Nepal,de Havilland Canada DHC-6 Twin Otter 300,32291,Final,0,0,3,18,0,21
Substantial,NA,Thursday 16 May 2013,2013,2010,Myanmar,Domestic Scheduled Passenger,Myanma Airways,Landing (LDG),Myanmar,Myanmar,Xian MA60,3457,Final,0,0,4,51,0,55
Unknown,NA,Saturday 18 May 2013,2013,1989-02-24  (24 years 3 months),United States of America,Domestic Scheduled Passenger,NA,Landing (LDG),United States of America,United States of America,de Havilland Canada DHC-8-102 Dash 8,NA,Preliminary - official,0,0,3,31,0,34
Substantial,Written off (damaged beyond repair),Saturday 18 May 2013,2013,1972,Brazil,Executive,BFB Leasing S.A. Arrendamento Mercantil,Landing (LDG),Brazil,Brazil,Cessna 500 Citation I,NA,Final,0,0,2,2,0,4
Substantial,Written off (damaged beyond repair),Sunday 19 May 2013,2013,,Afghanistan,Military,United States Air Force - USAF,Landing (LDG),Afghanistan,Afghanistan,Lockheed C-130 Hercules,NA,Preliminary,0,0,,,0,
None,NA,Friday 24 May 2013,2013,2008-03-18  (5 years 2 months),United Kingdom,International Scheduled Passenger,Pakistan International Airlines - PIA,En route (ENR),Pakistan,United Kingdom,Boeing 777-340ER,NA,Preliminary,0,0,14,308,0,322
Destroyed,Written off (damaged beyond repair),Friday 24 May 2013,2013,1974,Kyrgyzstan,Agricultural,Valor Air,Maneuvering (MNV),Kyrgyzstan,Kyrgyzstan,Antonov 2C/X,10995,Final,2,1,2,1,3,3
Substantial,Repaired,Friday 24 May 2013,2013,2001-08-10  (11 years 10 months),United Kingdom,International Scheduled Passenger,British Airways,Takeoff (TOF),United Kingdom,Norway,Airbus A319-131,28362,Final,0,0,5,75,0,80
Substantial,NA,Sunday 26 May 2013,2013,1968-04-16  (45 years 2 months),Haiti,Military,Força Aérea Brasileira - FAB,Takeoff (TOF),Haiti,Brazil,Boeing KC-137E (707-324C),NA,Preliminary,0,0,12,131,0,143
Substantial,Repaired,Sunday 26 May 2013,2013,2009-08-06  (3 years 10 months),Canada,Domestic Scheduled Passenger,Porter Airlines,Landing (LDG),Canada,Canada,Bombardier DHC-8-402Q Dash 8,NA,Final,0,0,4,59,0,63
Substantial,NA,Monday 27 May 2013,2013,1999,Nepal,Domestic Scheduled Passenger,Goma Air,Landing (LDG),Nepal,Nepal,Cessna 208B Grand Caravan,NA,Preliminary,0,0,2,9,0,11
Substantial,Written off (damaged beyond repair),Friday 31 May 2013,2013,1990-08-23  (22 years 10 months),Indonesia,Cargo,Deraya Air Taxi,Landing (LDG),Indonesia,Indonesia,British Aerospace ATP-F,NA,Preliminary,0,0,3,0,0,3
Substantial,NA,Saturday 1 June 2013,2013,1989-10-18  (23 years 8 months),Nepal,Domestic Scheduled Passenger,Sita Air,Landing (LDG),Nepal,Nepal,Dornier 228-202K,NA,Preliminary,0,0,2,5,0,7
Substantial,Repaired,Sunday 2 June 2013,2013,2011-09-29  (1 year 8 months),Philippines,Domestic Scheduled Passenger,Cebu Pacific Air,Landing (LDG),Philippines,Philippines,Airbus A320-214,NA,Final,0,0,6,165,0,171
Substantial,NA,Monday 3 June 2013,2013,1984,South Africa,Ferry/positioning,RV Consulting Partnership,Landing (LDG),South Africa,South Africa,Beechcraft B200 Super King Air,9782,Final,0,0,1,0,0,1
Substantial,NA,Friday 7 June 2013,2013,2006,China,Domestic Scheduled Passenger,China Eastern Airlines,Landing (LDG),China,China,Embraer EMB-145LI (ERJ-145LI),NA,Preliminary,0,0,,,0,44
Destroyed,Written off (damaged beyond repair),Friday 7 June 2013,2013,2007,United States of America,Private,Osage Air LLC,Initial climb (ICL),United States of America,United States of America,Beechcraft B200GT King Air,974,Final,1,0,1,0,1,1
Substantial,NA,Saturday 8 June 2013,2013,2012-02-04  (1 year 4 months),Italy,International Scheduled Passenger,Wizz Air,Landing (LDG),Romania,Italy,Airbus A320-232,NA,Preliminary - official,0,0,6,165,0,171
Substantial,NA,Saturday 8 June 2013,2013,1989,Canada,Parachuting,Skydive Toronto,Approach (APR),Canada,Canada,Cessna 208B Super Cargomaster,NA,Preliminary,0,0,1,0,0,1
Substantial,Written off (damaged beyond repair),Monday 10 June 2013,2013,2010,Indonesia,Domestic Scheduled Passenger,Merpati Nusantara Airlines,Landing (LDG),Indonesia,Indonesia,Xian MA60,4486,Final,0,0,4,46,0,50
Substantial,NA,Monday 10 June 2013,2013,2010,Myanmar,Domestic Scheduled Passenger,Myanma Airways,Landing (LDG),Myanmar,Myanmar,Xian MA60,4395,Final,0,0,4,60,0,64
Damaged beyond repair,NA,Monday 10 June 2013,2013,1985,Cameroon,Executive,CotonTchad,Approach (APR),Chad,Cameroon,Cessna 208 Caravan I,NA,Preliminary,1,0,2,3,1,5
Substantial,Written off (damaged beyond repair),Monday 10 June 2013,2013,1971,Canada,Unknown,Aviation Flycie,Approach (APR),Canada,Canada,Beechcraft 100 King Air,NA,Preliminary,0,0,,,0,4
Substantial,Written off (damaged beyond repair),Tuesday 11 June 2013,2013,1972,Canada,Unknown,Wabusk Air,Landing (LDG),?,Canada,Beechcraft A100 King Air,NA,Preliminary - official,0,0,2,0,0,2
Substantial,NA,Thursday 13 June 2013,2013,1991,United States of America,Unknown,Grady International Inc.,Standing (STD),-,-,Canadair CL-600-2B16 Challenger 601-3A,NA,Preliminary,0,0,,,0,
Damaged beyond repair,NA,Thursday 13 June 2013,2013,1992-09-10  (20 years 9 months),Bahamas,International Scheduled Passenger,SkyBahamas Airlines,Landing (LDG),United States of America,Bahamas,Saab 340B,NA,Preliminary - official,0,0,3,21,0,24
Substantial,Repaired,Thursday 13 June 2013,2013,1992,United States of America,Domestic Scheduled Passenger,Delta Air Lines,Taxi (TXI),United States of America,United States of America,McDonnell Douglas MD-88,56640,Final,0,0,7,149,0,156
Substantial,Repaired,Sunday 16 June 2013,2013,2005,Singapore,Private,Capital Investment Worldwide Inc.,Landing (LDG),India,Singapore,Bombardier BD-700-1A11 Global 5000,NA,Final,0,0,2,3,0,5
Substantial,Written off (damaged beyond repair),Tuesday 18 June 2013,2013,1981,United States of America,Training,E. Micah Aviation,Landing (LDG),United States of America,United States of America,IAI 1124 Westwind,7522,Final,0,0,2,1,0,3
Substantial,NA,Wednesday 19 June 2013,2013,1979,Hungary,Agricultural,Gergely Air,Takeoff (TOF),Hungary,?,Antonov 2R,NA,,0,0,1,0,0,1
Substantial,Written off (damaged beyond repair),Tuesday 25 June 2013,2013,1981,United States of America,Executive,Tennair,Approach (APR),United States of America,United States of America,Beechcraft 200 Super King Air,NA,Final,0,0,1,0,0,1
Damaged beyond repair,NA,Friday 28 June 2013,2013,,Russia,Domestic Non Scheduled Passenger,DOSAAF,En route (ENR),Russia,Russia,Antonov 2,NA,Preliminary,0,0,2,7,0,9
Damaged beyond repair,NA,Friday 28 June 2013,2013,1986,Kazakhstan,Agricultural,Asia Continental Avialines,Maneuvering (MNV),?,?,Antonov 2,NA,Preliminary,1,0,2,0,1,2
Unknown,NA,Friday 28 June 2013,2013,1988,Tanzania,Domestic Scheduled Passenger,Tanzanair - Tanzania Air Services,Landing (LDG),?,Tanzania,Reims Cessna F406 Caravan II,NA,Preliminary - official,0,0,,,0,
Substantial,Written off (damaged beyond repair),Saturday 29 June 2013,2013,1988,Botswana,Cargo,Batair Cargo,Approach (APR),South Africa,Botswana,Embraer EMB-110P1 Bandeirante,NA,Preliminary,2,0,2,0,2,2
Substantial,Written off (damaged beyond repair),Wednesday 3 July 2013,2013,2010,Canada,Fire fighting,Government of Newfoundland and Labrador,Takeoff (TOF),Canada,Canada,Canadair CL-215-6B11 (CL-415),NA,Final,0,0,2,0,0,2
Substantial,Written off (damaged beyond repair),Wednesday 3 July 2013,2013,1994-03-10  (19 years 4 months),Libya,-,Petra Airlines,Standing (STD),-,-,Airbus A320-212,NA,,0,0,1,0,0,1
Substantial,NA,Friday 5 July 2013,2013,1981,United States of America,Private,Eseasa Contrucciones,Taxi (TXI),United States of America,United States of America,Rockwell Sabreliner 65,NA,Preliminary - official,0,0,2,4,0,6
Destroyed,Written off (damaged beyond repair),Saturday 6 July 2013,2013,2006-02-25  (7 years 4 months),United States of America,International Scheduled Passenger,Asiana Airlines,Landing (LDG),South Korea,United States of America,Boeing 777-28EER,NA,Final,0,3,16,291,3,307
Destroyed,Written off (damaged beyond repair),Sunday 7 July 2013,2013,1958,United States of America,Domestic Non Scheduled Passenger,Rediske Air,Takeoff (TOF),United States of America,United States of America,de Havilland Canada DHC-3T Texas Turbine Otter,NA,Final,1,9,1,9,10,10
Substantial,Repaired,Friday 12 July 2013,2013,2012-10-22  (9 months),United Kingdom,-,Ethiopian Airlines,Standing (STD),-,-,Boeing 787-8 Dreamliner,1865,Final,0,0,0,0,0,0
Substantial,NA,Monday 15 July 2013,2013,,Guyana,Domestic Scheduled Passenger,Air Services,Approach (APR),Guyana,Guyana,Cessna 208B Grand Caravan,NA,Preliminary,0,0,1,12,0,13
Damaged beyond repair,NA,Monday 15 July 2013,2013,,Kazakhstan,Agricultural,Astana Flown Spur,Maneuvering (MNV),?,?,Antonov 2,NA,Preliminary,0,0,2,0,0,2
Substantial,Repaired,Wednesday 17 July 2013,2013,2004,United States of America,Domestic Non Scheduled Passenger,Air Choice One,Standing (STD),United States of America,United States of America,Cessna 208B Grand Caravan,10473,Final,0,0,2,9,0,11
Substantial,NA,Friday 19 July 2013,2013,1977-03-18  (36 years 4 months),Panama,Domestic Non Scheduled Passenger,My Flight Corp,En route (ENR),Panama,Panama,Britten-Norman BN-2A-21 Islander,NA,Preliminary,0,0,1,7,0,8
Substantial,NA,Sunday 21 July 2013,2013,2010-02-04  (3 years 6 months),Iceland,Test,Sukhoi Civil Aircraft,Landing (LDG),Iceland,Iceland,Sukhoi Superjet 100-95,NA,Preliminary - official,0,0,5,0,0,5
Substantial,NA,Sunday 21 July 2013,2013,1989,Ukraine,Agricultural,Albatross Avia,Maneuvering (MNV),?,?,Antonov 2R,NA,Preliminary,0,0,2,0,0,2
Substantial,Written off (damaged beyond repair),Monday 22 July 2013,2013,1999-10-06  (13 years 10 months),United States of America,Domestic Scheduled Passenger,Southwest Airlines,Landing (LDG),United States of America,United States of America,Boeing 737-7H4 (WL),49536,Final,0,0,5,145,0,150
Damaged beyond repair,NA,Sunday 28 July 2013,2013,,Russia,Illegal Flight,private,Initial climb (ICL),Russia,Russia,Antonov 2,NA,Preliminary,0,0,1,0,0,1
Destroyed,Written off (damaged beyond repair),Monday 5 August 2013,2013,1983,Iceland,Ambulance,Mýflug Air,Approach (APR),Iceland,Iceland,Beechcraft B200 Super King Air,NA,Preliminary - official,1,1,2,1,2,3
Substantial,NA,Monday 5 August 2013,2013,2012,United States of America,Ferry/positioning,Flight Options,Landing (LDG),United States of America,United States of America,Embraer EMB-505 Phenom 300,NA,Preliminary - official,0,0,2,0,0,2
Damaged beyond repair,NA,Tuesday 6 August 2013,2013,1989,China,Agricultural,Jingmen General Aviation Co.,Unknown (UNK),?,?,Shijiazhuang Y-5B,NA,Preliminary,1,0,3,0,1,3
Substantial,Repaired,Tuesday 6 August 2013,2013,1988-08-23  (24 years 12 months),Sudan,Domestic Scheduled Passenger,Mid Airlines,Taxi (TXI),Sudan,Sudan,Fokker 50,NA,Preliminary,0,0,5,50,0,55
Destroyed,Written off (damaged beyond repair),Friday 9 August 2013,2013,1969,Germany,Cargo,Ukraine Air Alliance,Standing (STD),Germany,Russia,Antonov 12BK,11219,Preliminary - official,0,0,7,0,0,7
Damaged beyond repair,NA,Friday 9 August 2013,2013,1964,Somalia,Military,Ethiopian Air Force,Landing (LDG),Ethiopia,Somalia,Antonov 12B,NA,,4,0,6,0,4,6
Substantial,NA,Saturday 10 August 2013,2013,1968,Germany,Domestic Non Scheduled Passenger,Air Tempelhof,Takeoff (TOF),Germany,Germany,Antonov 2T,NA,Preliminary - official,0,0,1,11,0,12
Destroyed,Written off (damaged beyond repair),Wednesday 14 August 2013,2013,2003-11-03  (9 years 10 months),United States of America,Cargo,United Parcel Service - UPS,Approach (APR),United States of America,United States of America,Airbus A300F4-622R,NA,Final,2,0,2,0,2,2
Destroyed,Written off (damaged beyond repair),Friday 16 August 2013,2013,1988,Russia,Domestic Scheduled Passenger,Polyarnye Avialinii,En route (ENR),Russia,Russia,Antonov 2TP,7587,Final,0,0,2,9,0,11
Substantial,NA,Monday 19 August 2013,2013,1942,Canada,Domestic Scheduled Passenger,Buffalo Airways,Landing (LDG),Canada,Canada,Douglas DC-3C,NA,Preliminary - official,0,0,3,21,0,24
Substantial,NA,Tuesday 20 August 2013,2013,1993,Bolivia,Domestic Scheduled Passenger,Aerocon,Landing (LDG),Bolivia,Bolivia,Swearingen SA227-DC Metro 23,34960,Final,0,0,2,8,0,10
Substantial,NA,Thursday 22 August 2013,2013,1980,Tanzania,Domestic Non Scheduled Passenger,Tanzanair - Tanzania Air Services,En route (ENR),Tanzania,Tanzania,Beechcraft B200C Super King Air,NA,Preliminary,0,0,1,6,0,7
Damaged beyond repair,NA,Thursday 22 August 2013,2013,1959,Canada,Ferry/positioning,Transwest Air,En route (ENR),Canada,Canada,De Havilland Canada DHC-3T Vazar Turbine Otter,NA,Final,1,0,1,0,1,1
Substantial,NA,Sunday 25 August 2013,2013,,Somalia,Domestic Non Scheduled Passenger,NA,Landing (LDG),Somalia,Somalia,Antonov 26B-100,NA,Preliminary,0,0,5,45,0,50
Substantial,NA,Sunday 1 September 2013,2013,1995,United States of America,Domestic Scheduled Passenger,Great Lakes Airlines,Landing (LDG),United States of America,United States of America,Beechcraft 1900D,35184,Final,0,0,2,10,0,12
Substantial,NA,Saturday 7 September 2013,2013,2003,Russia,Executive,NA,Landing (LDG),Italy,Russia,Canadair CL-600-2B19 Regional Jet CRJ-200ER,NA,Preliminary,0,0,4,7,0,11
Substantial,NA,Sunday 8 September 2013,2013,1995-03-02  (18 years 7 months),Thailand,International Scheduled Passenger,Thai Airways International,Landing (LDG),China,Thailand,Airbus A330-321,NA,Preliminary,0,0,14,288,0,302
Substantial,NA,Sunday 8 September 2013,2013,1980,Mexico,Unknown,Rajet Aeroservicios,Landing (LDG),United States of America,Mexico,Learjet 35A,NA,Preliminary,0,0,2,5,0,7
Damaged beyond repair,NA,Monday 9 September 2013,2013,1986,Chile,Ferry/positioning,Transportes Aéreos Corporativos - CorpFlite,Approach (APR),Chile,Chile,Dornier 228-202K,25012,Final,2,0,2,0,2,2
Substantial,Written off (damaged beyond repair),Tuesday 17 September 2013,2013,1992-02-05  (21 years 8 months),Burkina Faso,-,NA,Standing (STD),-,-,ATR 72-202,NA,,0,0,0,0,0,0
Substantial,Written off (damaged beyond repair),Wednesday 18 September 2013,2013,1986,Russia,Domestic Non Scheduled Passenger,NA,Landing (LDG),Russia,Russia,Antonov 2R,5277,Final,0,0,2,5,0,7
